property_url,property_id,listing_id,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_price_min,list_price_max,list_date,sold_price,last_sold_date,assessed_value,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,agent_id,agent_name,agent_email,agent_phones,agent_mls_set,agent_nrds_id,broker_id,broker_name,builder_id,builder_name,office_id,office_mls_set,office_name,office_email,office_phones,nearby_schools,primary_photo,alt_photos
https://www.realtor.com/realestateandhomes-detail/2006-Kohli-Dr_Troy_MI_48083_M97904-02644,9790402644,2969851195,DEMI,20240049571,SOLD,"IMMEDIATE OCCUPANCY! Mondrian Properties proudly presents the Manor floor plan at Eden Gardens that feeds into West Troy schools, including Troy High! Highlights include: Deeper basement, Premium Elevation and Brick, Premium Hardwood on first floor, Recessed Lights, Designer Lighting, Quartz in Kitchen, 1st Floor Full Bath and Master Bath, Gorgeous tile work in all Bathrooms and Kitchen backsplash. Elevate your lifestyle in this beautiful new construction home with landscaping included! Move in this great location now! Perfect location in West Troy in the center of it all!!",SINGLE_FAMILY,2006 Kohli Dr,2006 Kohli Dr,,Troy,MI,48083,4,3,,3200,2023,63,849900,,,7/22/2024,818000,9/23/2024,,841000,TRUE,10890,256,42.553291,-83.131622,,Oakland,26125,2,40,2,1471903,SAHAR FAKHOURI,,,A-DEMI-275325,,,,,,,O-DEMI-333163,"MONDRIAN PROPERTIES R E, LLC",,"[{'number': '(248) 833-0242', 'type': 'Office', 'primary': True, 'ext': None}]","Lighthouse Connections Academy, Troy School District",http://ap.rdcpix.com/3573884e092e01fe4c810f40c64aa236l-m2019059807od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/3573884e092e01fe4c810f40c64aa236l-m2019059807od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2218-Zenia-Dr_Troy_MI_48083_M32879-95458,3287995458,2971147743,DEMI,20240062004,SOLD,"Nestled within a serene subdivision in Troy, this delightful 3-bedroom, 1.5-bath brick ranch offers the perfect blend of comfort and privacy. Situated on an expansive, private lot with no neighbors behind you, this home provides a peaceful retreat just minutes from local amenities. Step inside to discover the warmth of a gas fireplace and the modern appeal of vinyl plank flooring that flows through the main living areas. The bedrooms and family room are carpeted, offering added comfort and a cozy feel throughout the home. The master bedroom and second bedroom both feature door walls that open to the spacious, fenced rear yardideal for relaxing, gardening, or entertaining. Roof 2017. A two-car attached garage offers ample storage and convenience, while the larger lot enhances the feeling of space and seclusion. This home is a rare find in a sought-after location, combining classic charm with modern comforts. Seller is offering immediate occupancy.",SINGLE_FAMILY,2218 Zenia Dr,2218 Zenia Dr,,Troy,MI,48083,3,1,1,1441,1978,30,345000,,,8/24/2024,337500,9/23/2024,117660,337500,FALSE,10890,234,42.545681,-83.102774,,Oakland,26125,1,0,2,2045321,Bonnie Showerman,showermanhomes@gmail.com,"[{'ext': None, 'primary': True, 'type': 'Mobile', 'number': '2487675917'}]",A-DEMI-387429,495519084,,"National Realty Centers Northville, MI",,,2951826,O-DEMI-387480,National Realty Centers-Northville,craig@nationalrealtycenters.com,"[{'number': '2484681444', 'type': 'Office', 'primary': True, 'ext': None}]","Noor International Academy, Conner Creek Academy East, Warren Consolidated Schools",http://ap.rdcpix.com/b3a5be64c0b543927b5af8aa7ab6249fl-m1209240656od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/b3a5be64c0b543927b5af8aa7ab6249fl-m1209240656od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/3576-Beach-Rd_Troy_MI_48084_M47833-14146,4783314146,2971601772,DEMI,20240065336,SOLD,"The one you have been waiting for!! Impeccable 4 bedroom, 3.5 bath WEST SIDE TROY colonial featuring a beautiful heated saltwater in-ground swimming pool (NEW POOL HEATER). Step into this expansive great room featuring a stunning stone gas fireplace that serves as a captivating focal point. The vaulted ceiling creates a sense of openness and grandeur while large windows flood the space with natural light, making it the perfect setting for both relaxation and entertaining. Spacious granite kitchen with center island, stainless steel appliances (new dishw in 2023), breakfast nook, tile backsplash & gorgeous custom cabinetry. Refinished hardwood floors thru-out in '22. Classic traditional floorplan, offering a formal living room with cozy fireplace (both fireplace & living room painted in 2023), dining room ideal for family gatherings and a dedicated office space for those who work from home or need a quiet retreat. Enjoy the versatility of a large bonus room for use as a game room, media center or play area. This separate space provides additional living options, perfect for hosting guests or creating a personalized retreat. Finished workshop next to the bonus room perfect for all your projects and hobbies. Finished basement with an additional full bath, 5th bedroom (currently being used as a craft room), family space with flatscreen TV and tons of storage. Brand new sump pump too. Outdoor living at its finest in this beautifully fenced yard with a charming pergola, firepit and a sparkling pool with double waterfall. The private backyard offers a perfect oasis for relaxing with family and friends. Washer/Dryer included (NEW washing machine 2024). Troy Schools: Schroeder Elem., Boulan, Troy High Schl. Short distance to Somerset Mall and Downtown Birmingham. Note: 36, 000 gallon gunite pool with diving board, new heater. Easy to maintain clear water - saltwater pools require less chemicals. Comes with robot style vacuum, skimmer and heavy duty brush.",SINGLE_FAMILY,3576 Beach Rd,3576 Beach Rd,,Troy,MI,48084,4,3,1,2400,1964,20,698000,,,9/3/2024,700013,9/23/2024,224400,675100,FALSE,14810,292,42.569864,-83.196677,,Oakland,26125,2,0,2,614617,Stacy Miletti,stacymiletti@yahoo.com,"[{'ext': None, 'primary': True, 'type': 'Mobile', 'number': '2488778528'}, {'ext': None, 'primary': True, 'type': 'Office', 'number': '2488134900'}]",A-DEMI-328340,474011630,713377,Real Estate One,,,3819,O-DEMI-08114902,Real Estate One Troy,customercare@realestateone.com,"[{'number': '2488134900', 'type': 'Office', 'primary': True, 'ext': None}, {'number': '(248) 813-4921', 'type': 'Fax', 'primary': False, 'ext': None}, {'number': '2482082970', 'type': 'Other', 'primary': True, 'ext': None}]","Lighthouse Connections Academy, Troy School District, Oakland Schools",http://ap.rdcpix.com/d329594da7e21454ccfedf7419d9463el-m2606197434od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/d329594da7e21454ccfedf7419d9463el-m2606197434od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/3714-Historic-Dr_Troy_MI_48083_M38565-51274,3856551274,2971686734,DEMI,20240065855,SOLD,"This stunning Troy colonial is the home you have been waiting for. Well updated and maintained inside and out this home sits on just under half an acre with a fenced yard. First floor features an open floor plan with bamboo floors throughout dining room and kitchen. Updated kitchen with large island, stainless steel appliances great for cooking and entertaining. Family room door wall leads to the beautiful two tier stamped concrete patio with natural gas hook up for grill overlooking the private yard. Upstairs features 4 large bedrooms primary bedroom with large walk in closet. Second bathroom recently updated. First floor laundry room. Finished basement with wet bar and plenty of room for storage. Large shed in back of yard great for storing toys and gardening equipment Located in Troy schools and near plenty of dining and shopping options and all major free ways.",77,3714 Historic Dr,3714 Historic Dr,,Troy,MI,48083,4,2,1,2321,1973,20,519900,,,9/4/2024,525000,9/24/2024,175390,507800,FALSE,20473,226,42.574124,-83.099466,,Oakland,26125,2,0,2,1287797,JOSHUA HEPNER,j.hepner1@gmail.com,"[{'ext': None, 'primary': True, 'type': 'Office', 'number': '2486497200'}]",A-DEMI-364702,,,,,,4296692,O-DEMI-409720,Keller Williams Somerset,,"[{'number': '2486497200', 'type': 'Office', 'primary': True, 'ext': None}]","Noor International Academy, Lighthouse Connections Academy, Troy School District",http://ap.rdcpix.com/cea8e752988249870b3f9492347567e8l-m2724537256od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/cea8e752988249870b3f9492347567e8l-m2724537256od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/31-Chopin-St_Troy_MI_48083_M44150-55955,4415055955,2969883665,DEMI,20240053381,SOLD,"Another great Hillan Homes! So many requests for a 4 bedroom plan under $550K! .. Here it is! Award winning Troy schools! Great open 4 bedroom plan offers: wide plank engineered wood floors; 1st floor study with French doors; quartz/stainless kitchen with custom cabinets, island and pantry; bright nook with door wall to patio. Large master with private full bath offers soak tub, full tile stand up shower stall, dual sink quartz or granite top vanity; huge walk-closet; 2nd floor laundry; 3 good size bedrooms of which 2 have walk-closets; 9'4 basement with egress and pre-plumbed for 3rd full bath; 2 car attached garage into roomy mudroom sprinklers, sod and landscaping package! Pick your colors today!",SINGLE_FAMILY,31 Chopin St,31 Chopin St,,Troy,MI,48083,4,2,1,2200,2024,59,549900,,,7/23/2024,549900,9/20/2024,65630,525700,TRUE,9583,250,42.549465,-83.146157,,Oakland,26125,2,0,2,312881,Elizabeth Reaume,elizabethreaume@howardhanna.com,"[{'ext': None, 'primary': True, 'type': 'Office', 'number': '2482838700'}, {'ext': None, 'primary': True, 'type': 'Mobile', 'number': '2483211720'}]",A-DEMI-305515,474005630,1535106,Howard Hanna Real Estate,,,1937799,O-DEMI-384126,Howard Hanna - Birmingham,manager.birmingham@howardhanna.com,"[{'number': '2482838700', 'type': 'Office', 'primary': True, 'ext': None}]","Lighthouse Connections Academy, Troy School District, Oakland Schools",http://ap.rdcpix.com/49692e87739788fe1b2557253589cee2l-m1685020440od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/49692e87739788fe1b2557253589cee2l-m1685020440od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1187-Alameda-Blvd_Troy_MI_48085_M36874-24883,3687424883,2970336423,DEMI,20240056506,SOLD,"Prime location! Impeccably updated ranch condo on the main floor in the sought-after Townes of Northwyck community in Troy. Enjoy meticulously landscaped grounds, a clubhouse, and a community pool. This desirable end-unit boasts abundant natural light from its southern exposure, featuring 9-foot ceilings and wider, accessible doors. The open-concept layout, ideal for entertaining, with a spacious living room, adjoining dining area, and galley kitchen complete with a snack-bar peninsula. The primary suite is generously sized with a walk-in closet and a spacious bath featuring a makeup vanity, linen closet, and large shower. The secondary full bath includes a tub/shower combo, while a unique step ceiling adds character to the second bedroom. Enjoy the convenience of an attached 2-car garage with direct unit access.",TOWNHOMES,1187 Alameda Blvd,1187 Alameda Blvd,,Troy,MI,48085,2,2,,1316,2004,48,309000,,,8/2/2024,300000,9/19/2024,103740,307590,FALSE,,228,42.618284,-83.128886,,Oakland,26125,1,330,2,1447813,Dan Gutfreund,dan@signaturesothebys.com,"[{'ext': None, 'primary': True, 'type': 'Office', 'number': '2486447000'}, {'ext': None, 'primary': True, 'type': 'Mobile', 'number': '2489785774'}, {'ext': None, 'primary': True, 'type': 'Mobile', 'number': '2489785774'}]",A-DEMI-367800,474018057,711866,Signature Sotheby's International Realty,,,27537,O-DEMI-190803,Signature Sotheby's International Realty,info@skbk.com,"[{'number': '2486447000', 'type': 'Office', 'primary': True, 'ext': None}, {'number': '18005777139', 'type': 'Toll Free', 'primary': True, 'ext': None}, {'number': '2486448226', 'type': 'Fax', 'primary': False, 'ext': None}]",Troy School District,http://ap.rdcpix.com/1b9895e72fb47ab21b35c83701908433l-m2503791016od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/1b9895e72fb47ab21b35c83701908433l-m2503791016od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/1817-Vermont-Dr_Troy_MI_48083_M94473-19368,9447319368,2969348174,DEMI,20240048919,SOLD,"Priced to sell! Good potential for fixer upper and good return on investment. Currently in need of repairs/improvement. Near Birmingham, Royal Oak, I-696 , I-75 and shopping malls. Investor's delight!",SINGLE_FAMILY,1817 Vermont Dr,1817 Vermont Dr,,Troy,MI,48083,2,1,,660,1996,76,79900,,,7/9/2024,75000,9/23/2024,35020,,FALSE,12197,114,42.551753,-83.112231,The Smart Zone,Oakland,26125,1,0,,752796,Basil Nafsu,basilnafsu@gmail.com,"[{'ext': None, 'primary': True, 'type': 'Other', 'number': '2486895000'}]",A-DEMI-179833,485005945,713377,Real Estate One,,,3819,O-DEMI-08114902,Real Estate One Troy,customercare@realestateone.com,"[{'number': '2488134900', 'type': 'Office', 'primary': True, 'ext': None}, {'number': '(248) 813-4921', 'type': 'Fax', 'primary': False, 'ext': None}, {'number': '2482082970', 'type': 'Other', 'primary': True, 'ext': None}]","Noor International Academy, Conner Creek Academy East, Warren Consolidated Schools, Lighthouse Connections Academy",http://ap.rdcpix.com/27f3caba1559e21e43beade77fffaa83l-m2256787301od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/27f3caba1559e21e43beade77fffaa83l-m2256787301od-w480_h360_x2.webp?w=1080&q=75
https://www.realtor.com/realestateandhomes-detail/2377-Avery-Dr_Troy_MI_48085_M39976-30503,3997630503,2970531933,SWMI,24041190,SOLD,"Step into this 1356 sq ft gem, where fresh updates and cozy spaces combine effortlessly. With 3 bedrooms and 1.5 baths, this home is perfect for both relaxation and entertaining. The newly updated kitchen (2021) and bathrooms (2024) are designed with modern touches that complement the home's welcoming atmosphere. Located in a lovely tree-lined neighborhood, close to excellent Troy schools, beautiful parks, ample shopping, and anything else your heart desires, this home is ready for you to move in and enjoy. Experience the perfect balance of style and function in your new home! (Home was recently appraised for $336K, before bathroom renovations)",SINGLE_FAMILY,2377 Avery Dr,2377 Avery Dr,,Troy,MI,48085,3,1,1,1546,1974,43,317900,,,8/8/2024,320000,9/20/2024,137650,324328,FALSE,9583,207,42.591155,-83.102512,,Oakland,26125,1,0,,100035906,Jennifer Hall,jenaha530@gmail.com,"[{'ext': None, 'primary': True, 'type': 'BUSINESS_PHONE', 'number': '7347616600'}]",A-SWMI-AHALLJEN103,,1535106,Howard Hanna Real Estate,,,14085,O-SWMI-OA0041,Howard Hanna - Ann Arbor,manager.annarbor@howardhanna.com,"[{'number': '7347616600', 'type': 'Office', 'primary': True, 'ext': None}]",Troy School District,http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m1194572677od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m1194572677od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m2621503432od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m786819820od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m154604278od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m3280257616od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m41172822od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m30717957od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m302661199od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m436723160od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m1570552865od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m1454699222od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m1601391558od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m2071866254od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m1087271747od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m1423901830od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m2120104853od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m1137519555od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m1351686958od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m2403325531od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m1807614551od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m3396140196od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m2420004710od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m664986578od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m2668094253od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m1828047688od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m132800117od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m3631964746od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/e52070f0ecc689a3c986e8f10026c9f6l-m443384833od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/4138-Washington-Crescent-Dr_Troy_MI_48085_M41673-76871,4167376871,2969950920,SWMI,24038001,SOLD,"Welcome to this charming 4-bedroom colonial home! Featuring a beautifully renovated kitchen, this residence boasts modern amenities and classic charm. Enjoy the spacious wrap-around porch and relax in the inviting sunroom. The exterior has been meticulously remodeled, offering both curb appeal and peace of mind. Inside, you'll find the convenience of second-floor laundry and a cozy fireplace that enhances the beautiful living room, perfect for gatherings and relaxation. The rebuilt garage with a loft provides ample storage or a perfect workspace. Don't miss the opportunity to make this exquisite property your new home!",SINGLE_FAMILY,4138 Washington Crescent Dr,4138 Washington Crescent Dr,,Troy,MI,48085,4,2,1,1995,1972,56,500000,,,7/24/2024,505000,9/18/2024,160320,495000,FALSE,12197,253,42.580719,-83.105639,,Oakland,26125,2,0,,4386461,Eric Penz,ericpenz.sbet@gmail.com,"[{'ext': None, 'primary': True, 'type': 'BUSINESS_MOBILE', 'number': '2489301619'}]",A-SWMI-E430430,,1535106,Howard Hanna Real Estate,,,1937799,O-SWMI-OE384126,Howard Hanna - Birmingham,manager.birmingham@howardhanna.com,"[{'number': '2482838700', 'type': 'Office', 'primary': True, 'ext': None}]","Lighthouse Connections Academy, Troy School District",http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3183310731od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3183310731od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m897860162od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m347965084od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m1034758876od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m711192843od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3431143788od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m2208137286od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m4070656752od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m1625390674od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m1294304794od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m73090254od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3625297013od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m442669535od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3359117040od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3564896629od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m2323020411od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3897131442od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m1824211012od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m2725959623od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m979876815od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m1652731657od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m1890088555od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3825218607od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m637516505od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m197011213od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m2137750878od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m32832383od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m2031349387od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m4293131123od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m2334408282od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m1207755544od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m2956963309od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3392880285od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m2047380528od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m2119229805od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m73318725od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m2927849984od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3493536703od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3181119220od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m2704196381od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3458909022od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m1803468372od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3088732733od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3382458994od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m1777886770od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m4233045132od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m1546033695od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m1855430083od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m3162343149od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m559218796od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/73d2db0d2b8919a799afa18d4a92867cl-m2470859313od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/3283-Camden-Dr_Troy_MI_48084_M33717-26834,3371726834,2971882777,DEMI,20240067266,SOLD,"Welcome home to this beautifully renovated Midtown Square Townhouse. Offering the largest Floor plan in the complex is only one of the many exquisite features 3282 Camden Drive provides. The interior presents an open floor plan with the elegant Living Room featuring high ceilings, updated flooring, gas fireplace and floor to ceilings windows bringing ample amounts of natural sunlight. From the Living Room flows onto the Dining Room and the gourmet Kitchen with stainless steel appliances, tile back splash and granite countertops with a bar overhang. The main floor also offers an office/third bedroom with French Doors, an updated Powder Room and direct access to the outdoor patio. The third floor offers two spacious Bedrooms, both en-suite. The Primary Bedroom boasts cathedral ceilings, a walk-in closet, fresh carpet and an updated full bathroom with large tub, Euro spa standing shower with a new tile surround, two sink vanity and ceramic tile flooring. The second spacious bedroom provides a walk-in closet and recently renovated full bathroom with a new vanity, Euro Spa Shower with a subway backsplash tile surround and light fixture. The third floor also offers laundry. The Ground Level is a great landing spot with plenty of closets and direct access to the attached two Tandem car garage. Walkable to Target, Whole Foods, LA Fitness, Kroger and much more. Birmingham Schools. This is a must see!",TOWNHOMES,3283 Camden Dr,3283 Camden Dr,,Troy,MI,48084,2,2,1,2214,2004,14,399999,,,9/9/2024,383500,9/23/2024,137850,401100,FALSE,,173,42.546797,-83.189108,The Transit Center,Oakland,26125,3,235,2,3082446,Jack Apap,jack@signaturesothebys.com,"[{'ext': None, 'primary': True, 'type': 'Office', 'number': '2486447000'}, {'ext': None, 'primary': True, 'type': 'Mobile', 'number': '2488180668'}]",A-DEMI-383481,,3408426,@properties Detroit,,,100454809,O-DEMI-432297,@properties Christie's Int'l R.E. Birmingham,,"[{'number': '2488508632', 'type': 'Office', 'primary': True, 'ext': None}]","Birmingham Public Schools, Lighthouse Connections Academy, Oakland Schools",http://ap.rdcpix.com/8da4ecd7cbb9b0d6f1edd9dd9cc00554l-m2315802506od-w480_h360_x2.webp?w=1080&q=75,http://ap.rdcpix.com/8da4ecd7cbb9b0d6f1edd9dd9cc00554l-m2315802506od-w480_h360_x2.webp?w=1080&q=75
